year,Aruba,Africa Eastern and Southern,Afghanistan,Africa Western and Central,Angola,Albania,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Cayman Islands,Cyprus,Czechia,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income
1970,0.0252,228.4707,1.7339,42.4161,8.9339,4.845,270.7078,19.4648,87.5691,10.0995,0.0001,0.1024,160.3769,52.9672,24.2267,0.0583,139.2567,0.3114,0.2263,3.3384,69.0629,2.9781,1.4411,11.5364,60.0888,0.0593,0.1388,3.0225,106.9322,0.2549,2.0243,0.0351,0.1534,0.0756,358.1272,888.2721,41.4533,28.3898,909.9762,2.6158,0.8711,2.9264,1.8032,28.8518,0.0219,0.15,1.4334,4.0612,21.8917,0.0255,2.1675,188.2861,1084.6575,0.7116,0.0076,61.9534,3.8822,19.6906,1119.007,1176.6564,2226.6601,967.4633,6543.6574,5.019,25.4499,2598.3061,0.3417,144.2628,21.2641,1.1671,3516.0437,674.343,41.2422,0.7127,469.4414,0.0009,0,0.6037,673.4202,23.9305,2.3446,0.0695,0.4594,0.0792,0.0442,0.0416,28.8581,0.0112,0.0008,2.5,0.0001,1.5025,11859.3209
1971,0.0288,227.1187,1.7337,57.1897,8.5195,4.8381,289.0603,25.4298,87.8908,10.1155,0.0001,0.1023,162.1077,55.6333,24.2495,0.0584,129.1389,0.3617,0.2266,3.3452,69.0005,2.9968,1.4637,11.5732,60.1849,0.0593,0.1387,3.7702,106.5753,0.2547,1.871,0.0371,0.1535,0.0756,365.7851,898.811,43.4093,30.8359,913.4194,2.6676,0.9274,2.9567,2.0656,29.1582,0.0219,0.15,1.4465,4.0839,22.0693,0.0273,2.1843,188.5454,1077.4192,0.7116,0.0076,57.6843,3.9304,23.0111,1123.9447,1189.826,2231.202,970.833,6555.0587,4.4901,25.1577,2609.8951,0.3399,140.8825,21.2894,1.1708,3527.0647,678.9073,40.6554,0.7216,481.5545,0.0009,0,1.1167,668.6714,23.6533,2.3843,0.0695,0.4621,0.0793,0.0442,0.0416,29.9074,0.0112,0.0008,2.4989,0.0002,1.5025,11767.2588
1972,0.0395,236.0831,1.6936,70.5182,10.3661,5.5183,323.0438,27.7474,89.7154,10.8289,0.0001,0.1246,167.9569,57.8461,25.871,0.0582,140.7476,0.4616,0.2257,3.4694,71.3123,3.5852,1.7255,11.3696,64.2946,0.072,0.169,4.4954,116.2031,0.3084,2.2027,0.0403,0.197,0.0754,383.0355,926.4159,44.1076,32.1775,973.9099,2.9648,0.9673,3.0413,1.9782,29.8791,0.0218,0.1492,1.6214,4.567,21.6928,0.0355,2.6634,188.4773,1105.2903,0.708,0.0092,59.7324,5.0595,35.1511,1182.7031,1279.3202,2348.4843,1031.1904,6822.4436,4.4801,27.3379,2730.4776,0.3217,153.2387,23.1558,1.087,3673.2092,711.5789,44.3479,0.7701,499.1043,0.001,0,1.2035,657.7172,25.127,2.4962,0.0596,0.4647,0.0789,0.044,0.0479,36.7289,0.0136,0.0008,2.7412,0.0002,1.5246,12336.0328
1973,0.0443,257.7254,1.7339,91.7246,11.347,4.9519,373.801,35.8436,92.8004,11.7685,0.0001,0.1257,177.3185,61.156,28.0467,0.06,146.1458,0.4765,0.2332,4.0983,72.2927,4.5234,1.7179,12.3895,70.2668,0.0727,0.1705,4.1854,135.1541,0.3049,2.6747,0.0424,0.2623,0.0779,401.9821,970.0319,47.7356,32.0939,1013.6614,3.0499,1.01,3.0599,8.9588,30.8285,0.0225,0.1544,1.8319,4.8287,23.382,0.0381,2.7716,186.5225,1157.7203,0.7327,0.0093,58.7828,5.0759,47.2991,1237.6773,1400.3129,2544.5992,1098.3442,7203.0564,5.6654,25.4537,2889.4308,0.3246,166.1214,26.4646,1.1872,3865.9834,772.4076,48.4209,0.9165,535.7473,0.001,0,3.8554,690.031,26.6422,2.5507,0.06,0.4807,0.0816,0.0455,0.0289,39.2983,0.0137,0.0008,2.9108,0.0002,1.7661,13036.0895
1974,0.0435,264.8591,2.1903,113.8563,11.8066,5.3296,365.893,36.0107,93.2802,12.6822,0.0001,0.1119,186.8463,58.6676,30.2288,0.0642,144.9777,0.489,0.251,4.3153,73.1604,5.3311,1.5015,13.4187,76.0691,0.0648,0.1519,3.985,145.9414,0.2721,2.7759,0.0432,0.4532,0.0839,410.0579,979.0147,43.0445,30.2627,1031.2094,3.1332,0.9847,3.2146,12.8843,31.9346,0.0243,0.1667,1.798,4.266,25.3607,0.0359,2.1222,169.7647,1122.5066,0.7913,0.0083,52.382,5.4281,39.9004,1263.5309,1460.4252,2583.7855,1151.9594,7220.5881,6.9171,29.426,2841.4858,0.3172,178.5506,29.4867,1.2018,3806.1323,816.0933,44.6083,1.1086,517.0076,0.001,0,3.9574,644.6402,27.9254,2.7186,0.06,0.5136,0.0881,0.0491,0.0352,38.5104,0.0122,0.0009,3.0195,0.0002,1.5581,12843.9382
1975,0.0574,277.3453,2.029,91.2373,10.9047,5.4241,367.3776,36.6794,90.9167,13.8422,0.0001,0.1355,193.595,56.3427,32.7151,0.0664,127.6903,0.5486,0.2607,5.1729,78.267,5.5011,1.5368,13.6898,81.7167,0.0783,0.1839,4.5329,156.4252,0.3279,2.8612,0.0428,0.5606,0.087,400.2143,1026.7045,40.6342,27.4668,1182.5986,3.4029,1.2483,3.1596,7.9651,34.3332,0.0252,0.1732,1.9711,4.7685,26.0754,0.0459,2.1636,177.0444,1060.5661,0.8221,0.01,54.6674,5.6344,36.4074,1427.6095,1506.3406,2705.7539,1214.5659,7252.7608,7.4965,31.7245,2705.6486,0.3017,184.4173,32.0739,1.0691,3715.3565,818.943,44.761,0.9213,476.4954,0.0011,0,5.0973,623.6572,29.9327,2.8941,0.063,0.5304,0.0915,0.0509,0.0382,40.5123,0.0148,0.0009,3.3205,0.0002,1.8403,12538.9421
1976,0.0564,289.9063,1.8926,103.4512,7.292,5.7966,433.9417,45.581,95.5879,14.2322,0.0001,0.1229,196.384,61.6789,33.7414,0.0687,137.3342,0.3659,0.2701,5.5505,79.1423,5.9686,1.3565,13.5473,85.2787,0.0711,0.1667,5.1221,171.8647,0.3065,3.3071,0.0446,0.8179,0.0901,413.3629,1080.6694,42.32,28.0982,1230.6257,3.8886,1.1621,3.1005,7.6969,36.6331,0.0262,0.1795,2.0285,4.526,27.5141,0.0438,2.6315,182.448,1122.9347,0.8525,0.0091,60.3766,5.7819,47.0741,1485.3923,1639.0425,2813.9173,1255.6369,7624.5948,8.5859,36.6724,2901.8991,0.294,202.6224,33.673,1.0644,3975.2004,867.9012,51.0003,0.9065,521.9985,0.0011,0,5.9131,629.8113,30.4322,2.9599,0.0625,0.55,0.0949,0.0528,0.0383,45.4646,0.0134,0.0009,3.2914,0.0002,1.8655,13272.2644
1977,0.0671,293.7032,2.2826,90.4019,12.0335,6.2009,447.9059,45.8764,99.5195,14.7678,0.0001,0.1357,209.6638,58.9658,34.9679,0.071,134.7522,0.4271,0.2793,5.7769,82.1489,6.5894,1.5063,14.2747,88.1964,0.0784,0.1841,4.9204,179.5368,0.3352,3.3854,0.0471,0.9335,0.0932,427.8718,1126.258,42.7429,26.1943,1383.5222,3.857,1.6236,3.2098,2.4694,37.6184,0.0271,0.1859,2.5563,4.8049,29.9989,0.0508,2.7938,192.9388,1101.4441,0.8828,0.01,62.0825,6.2465,52.1495,1671.065,1720.8175,3055.9344,1289.0218,7685.0732,9.9783,37.8326,2843.4664,0.249,194.5749,35.0478,1.1356,3954.6441,864.8771,50.6766,0.9608,503.433,0.0012,0,5.8443,638.3125,30.7359,3.0552,0.0594,0.57,0.0983,0.0546,0.0383,47.6866,0.0148,0.0009,3.7733,0.0002,1.8685,13546.5971
1978,0.0719,273.3683,1.9341,94.0102,14.2163,6.821,479.6342,52.6114,98.5796,15.3786,0.0001,0.1357,205.9886,60.8685,36.9661,0.0722,139.1765,0.4541,0.284,6.1968,88.2078,6.974,1.5275,14.9598,91.8294,0.0784,0.1841,5.6074,194.2063,0.345,3.49,0.0497,1.0545,0.0947,431.0299,1192.8193,43.949,26.8977,1559.4212,4.4631,1.7588,3.2324,1.5294,40.1198,0.0276,0.1889,2.7622,4.7471,32.1589,0.0532,2.9037,190.7715,1139.317,0.8971,0.01,62.0204,6.3641,57.3541,1876.2956,1759.2777,3266.8365,1359.7355,8021.5744,11.214,38.3145,2939.8478,0.2586,193.408,37.3226,1.1718,4100.0397,921.8881,57.1255,0.9594,521.4465,0.0012,0,6.4959,636.4771,31.5327,2.9712,0.0562,0.5819,0.0999,0.0555,0.0734,50.3037,0.0148,0.0009,4.1723,0.0002,1.7606,13830.2498
1979,0.0759,279.7218,2.0593,124.1053,14.1794,7.9367,515.5544,37.8795,104.2683,15.959,0.0001,0.1342,211.8454,63.3083,38.3841,0.0822,148.4197,0.5095,0.3262,6.9084,91.4849,7.4412,1.5738,15.4567,95.0347,0.0776,0.1821,4.9895,207.3871,0.3455,3.1636,0.0513,1.2006,0.1088,445.1962,1216.7315,42.6298,28.5284,1597.3528,4.1629,1.9104,3.5759,1.3888,40.3448,0.0318,0.2181,2.755,4.7018,32.5677,0.055,3.0984,200.516,1189.4771,1.0364,0.0099,65.4413,6.7225,57.4234,1939.5082,1849.016,3374.3897,1385.8739,8257.6389,12.1527,41.6094,3062.1831,0.2868,205.1615,38.8193,1.2175,4246.2184,994.953,56.8908,1.0275,529.0211,0.0012,0,6.3993,672.6636,32.6203,2.635,0.0788,0.6614,0.1152,0.0639,0.0704,53.2161,0.0146,0.0009,4.6515,0.0002,1.6812,14142.0407
